,Board,Tech,Subject,Grade,Week,Day,Lesson Name,Total Clicks in a Month,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7
0,CBSE,Low Tech,English,G1,W1,D1,A Happy Child,5225,84,75,68,86,85,59,87
1,CBSE,Low Tech,English,G1,W1,D2,Types of Houses,6130,42,59,54,13,77,116,98
2,CBSE,Low Tech,English,G1,W1,D3,Feelings,6250,59,100,24,30,80,170,155
3,CBSE,Low Tech,English,G1,W1,D4,Family,4327,15,54,95,27,78,54,136
4,CBSE,Low Tech,English,G1,W1,D5,Animals and Babies,6965,42,66,13,81,12,184,153
5,CBSE,Low Tech,Math,G1,W1,D1,Inside and Outside,5778,55,21,40,83,94,101,94
6,CBSE,Low Tech,Math,G1,W1,D2,Big and Small,6224,68,83,76,55,31,116,160
7,CBSE,Low Tech,Math,G1,W1,D3,Biggest Smallest,5662,70,99,78,10,93,70,163
8,CBSE,Low Tech,Math,G1,W1,D4,Top and Bottom,5522,78,74,38,11,97,89,35
9,CBSE,Low Tech,Math,G1,W1,D5,Revise Positions,6648,57,60,36,43,43,49,60
10,CBSE,Low Tech,English,G2,W1,D1,First Day at School1,5427,59,80,28,31,65,187,65
11,CBSE,Low Tech,English,G2,W1,D2,First Day at School2,5572,19,16,44,38,52,70,36
12,CBSE,Low Tech,English,G2,W1,D3,Brush your Teeth,5376,13,35,28,71,71,54,189
13,CBSE,Low Tech,English,G2,W1,D4,Haldis Adventure,5076,86,29,74,16,100,139,60
14,CBSE,Low Tech,English,G2,W1,D5,Paddling Pool,5777,26,76,28,41,32,75,141
15,CBSE,Low Tech,Math,G2,W1,D1,Long and Round Obejcts,4606,25,63,55,49,61,42,115
16,CBSE,Low Tech,Math,G2,W1,D2,Roll and Slide,5155,88,20,89,72,73,151,47
17,CBSE,Low Tech,Math,G2,W1,D3,Things that roll and slide,6270,92,87,83,84,36,176,176
18,CBSE,Low Tech,Math,G2,W1,D4,Tall and Short,5792,82,87,82,95,97,140,104
19,CBSE,Low Tech,Math,G2,W1,D5,Revise what is long and round ,6187,42,48,75,31,77,155,197
20,CBSE,Low Tech,English,G3,W1,D1,Good Morning1,5653,78,76,63,94,42,166,36
21,CBSE,Low Tech,English,G3,W1,D2,Good Morning2,6406,84,69,16,45,72,147,54
22,CBSE,Low Tech,English,G3,W1,D3,Magic Garden1,5563,50,31,87,22,72,141,178
23,CBSE,Low Tech,English,G3,W1,D4,Magic Garden2,5578,63,47,65,96,42,71,56
24,CBSE,Low Tech,English,G3,W1,D5,Magic Garden3,5813,27,67,30,56,40,47,70
25,CBSE,Low Tech,EVS,G3,W1,D1,"Animals that live on trees, water and land.

",4412,40,56,98,70,17,88,195
26,CBSE,Low Tech,EVS,G3,W1,D2,"Animals that move from one place to another.


",5015,29,40,92,80,24,160,83
27,CBSE,Low Tech,EVS,G3,W1,D3,"Wild and domestic animals
",6197,87,58,41,99,48,50,125
28,CBSE,Low Tech,EVS,G3,W1,D4,characteristics of animals,5110,53,65,31,39,30,168,166
29,CBSE,Low Tech,EVS,G3,W1,D5,Animals that live around a tree,5748,41,77,24,55,92,64,155
30,CBSE,Low Tech,Math,G3,W1,D1,"Top, Side and Front View",5783,76,44,67,80,15,137,166
31,CBSE,Low Tech,Math,G3,W1,D2,Patterns on Dotted Paper,4691,25,84,90,81,68,41,124
32,CBSE,Low Tech,Math,G3,W1,D3,Understanding Mirror Halves,6290,29,38,86,23,98,79,121
33,CBSE,Low Tech,Math,G3,W1,D4,Number and Letters with Mirror Halves,5025,65,26,89,15,59,49,177
34,CBSE,Low Tech,Math,G3,W1,D5,Revise mirror halves,6083,44,79,30,44,98,103,133
35,CBSE,Low Tech,English,G4,W1,D1,Wake Up1,5583,59,22,31,51,12,133,111
36,CBSE,Low Tech,English,G4,W1,D2,Wake Up2,5771,86,21,72,75,68,193,182
37,CBSE,Low Tech,English,G4,W1,D3,Wake Up3,5532,25,28,70,91,96,120,166
38,CBSE,Low Tech,English,G4,W1,D4,Wake Up4,5698,80,41,71,83,40,50,135
39,CBSE,Low Tech,English,G4,W1,D5,Wake Up,5688,11,87,15,76,28,44,151
40,CBSE,Low Tech,EVS,G4,W1,D1,Type of bridges.,5769,17,72,21,86,66,72,192
41,CBSE,Low Tech,EVS,G4,W1,D2,Ecosystems,6112,61,56,39,74,31,133,79
42,CBSE,Low Tech,EVS,G4,W1,D3,usage of Wheel and pulley,5243,67,35,33,43,47,82,148
43,CBSE,Low Tech,EVS,G4,W1,D4,Modes of transportation,5353,39,29,87,31,82,165,158
